Epoch,Loss,Top1 Acc,Top5 Acc,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc
1,1.0111060398140181,0.6619247701948862,0.9857599701719415,0.9246165357276468,0.632768361581921,0.32791327913279134,0.43224932249322495,0.013003901170351105,0.7182368193604148
2,0.8510162468158812,0.7116860023231468,0.9922561771327779,0.930976430976431,0.5407586763518967,0.34959349593495936,0.489159891598916,0.19115734720416125,0.7130509939498704
3,0.7798764856693204,0.7325082815883441,0.9944215794530566,0.9395809951365507,0.6029055690072639,0.4105691056910569,0.28319783197831977,0.31469440832249673,0.6871218668971478
4,0.7288038702499892,0.7488850329112472,0.9958269398993304,0.9436962214739992,0.6642453591606134,0.3699186991869919,0.44308943089430897,0.3719115734720416,0.5012964563526361
5,0.6864329927608653,0.7635265942953838,0.9966300030114866,0.8383838383838383,0.4745762711864407,0.7682926829268293,0.5623306233062331,0.3368010403120936,0.8055315471045809
6,0.6442841440308874,0.7744396483730802,0.9976911935525504,0.9382716049382716,0.7263922518159807,0.3048780487804878,0.518970189701897,0.19505851755526657,0.68971477960242
7,0.5964232740621312,0.7903575064890368,0.9980640442831945,0.9064721286943509,0.6029055690072639,0.44850948509485095,0.46476964769647694,0.4044213263979194,0.7960242005185826
8,0.5482340108862284,0.8041386431101487,0.9985516183155752,0.9107744107744108,0.5665859564164649,0.5149051490514905,0.4254742547425474,0.4174252275682705,0.6983578219533275
9,0.47863844807318623,0.827714281617025,0.9991539156496924,0.8868312757201646,0.6271186440677966,0.489159891598916,0.48509485094850946,0.43823146944083224,0.6508210890233362
10,0.4172408475499831,0.8457114995769578,0.9994120430785998,0.8726150392817059,0.6263115415657788,0.3943089430894309,0.481029810298103,0.3966189856957087,0.7467588591184097
11,0.34939937734860993,0.8715529232931324,0.9996845109202243,0.9150766928544707,0.48103309120258275,0.4932249322493225,0.44308943089430897,0.36671001300390116,0.7216940363007779
12,0.2949524218825525,0.8903388639525045,0.9997131917456584,0.8752338196782641,0.6166263115415658,0.4173441734417344,0.5718157181571816,0.24577373211963588,0.7035436473638721
13,0.2401760949368999,0.912308376235068,0.9999282979364146,0.8555929667040778,0.5706214689265536,0.505420054200542,0.3902439024390244,0.3550065019505852,0.7355229040622299
14,0.1917616588922981,0.9311086573071573,0.9999569787618487,0.6401047512158623,0.6755447941888619,0.43224932249322495,0.48644986449864497,0.5019505851755527,0.6923076923076923
15,0.16297995256363115,0.9413333715744339,0.9999713191745658,0.8501683501683501,0.6771589991928975,0.5149051490514905,0.3997289972899729,0.3107932379713914,0.6560069144338807
16,0.13086690258912614,0.9526766380336426,1.0,0.9160119715675271,0.5819209039548022,0.5338753387533876,0.470189701897019,0.2925877763328999,0.38807260155574763
17,0.11234328978269775,0.9594883340742547,0.9999856595872829,0.8106995884773662,0.483454398708636,0.45663956639566394,0.508130081300813,0.39791937581274384,0.7579948141745895
18,0.09115731799003154,0.9679778584027648,0.9999856595872829,0.8858959970071081,0.5294592413236481,0.47289972899729,0.45257452574525747,0.3953185955786736,0.693171996542783
19,0.08171454247207387,0.9719358123126783,1.0,0.8591470258136925,0.6376109765940274,0.47289972899729,0.4024390243902439,0.3706111833550065,0.759723422644771
20,0.07191003332428439,0.9753058093011917,1.0,0.8995510662177328,0.615819209039548,0.45663956639566394,0.4078590785907859,0.39271781534460337,0.6024200518582541
21,0.07467208809709035,0.9744740653636011,1.0,0.8436213991769548,0.5326876513317191,0.4878048780487805,0.483739837398374,0.44213263979193757,0.6050129645635264
22,0.06323192629581137,0.9777867007012462,1.0,0.8812196034418257,0.5754640839386602,0.44850948509485095,0.48644986449864497,0.37971391417425226,0.6732929991356957
23,0.05692658189949874,0.9804109962284715,1.0,0.8430602319491208,0.5988700564971752,0.483739837398374,0.4268292682926829,0.5318595578673602,0.6594641313742438
