Epoch,Loss,Top1 Acc,Top5 Acc,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc
1,1.3411265789667766,0.46579166666666666,0.9806666666666667,0.5965,0.399,0.5335,0.698,0.1615,0.5155
2,1.1313133953809738,0.5564375,0.9899791666666666,0.7735,0.345,0.6685,0.643,0.1785,0.8225
3,1.0211037979125976,0.6058541666666667,0.9926041666666666,0.7115,0.472,0.675,0.504,0.636,0.5855
4,0.9444019177357356,0.6355208333333333,0.9939791666666666,0.6725,0.4415,0.649,0.549,0.4855,0.793
5,0.8750297159353893,0.6655416666666667,0.9952708333333333,0.753,0.524,0.547,0.6265,0.4295,0.846
6,0.7962483507792155,0.6999791666666667,0.9971041666666667,0.533,0.6285,0.686,0.5535,0.6295,0.636
7,0.7163418121139209,0.728625,0.9974583333333333,0.475,0.572,0.7605,0.4925,0.681,0.65
8,0.6244509206414223,0.7645833333333333,0.9984791666666667,0.711,0.338,0.7605,0.4885,0.5115,0.725
9,0.5314847725927829,0.7988333333333333,0.9990625,0.6335,0.144,0.757,0.71,0.5475,0.648
10,0.4398228225509326,0.8353125,0.9994166666666666,0.655,0.427,0.679,0.5535,0.5885,0.765
11,0.3580861880530914,0.8659166666666667,0.9997708333333334,0.7205,0.3495,0.6615,0.602,0.4495,0.7765
12,0.2845457008779049,0.8945625,0.9997708333333334,0.6035,0.3785,0.688,0.6265,0.5735,0.5675
13,0.22277765374382336,0.9197916666666667,0.9998958333333333,0.5625,0.407,0.776,0.4825,0.58,0.764
14,0.1875250441096723,0.9323958333333333,0.9999583333333333,0.6165,0.5055,0.607,0.567,0.626,0.523
15,0.14574298204792044,0.9479791666666667,0.9999583333333333,0.6675,0.4915,0.732,0.5865,0.4095,0.735
16,0.12790032876996946,0.9533333333333334,1.0,0.7305,0.582,0.5885,0.5315,0.4305,0.6405
17,0.10928600725345314,0.9614375,0.9999791666666666,0.6905,0.479,0.6875,0.5535,0.5305,0.6835
18,0.08988190570194274,0.969,1.0,0.656,0.3705,0.7245,0.612,0.5465,0.7245
19,0.07806095484488954,0.9722291666666667,0.9999791666666666,0.596,0.55,0.618,0.517,0.672,0.5985
20,0.07093875774811022,0.9746875,1.0,0.6055,0.623,0.524,0.5625,0.5135,0.6345
21,0.06832147762846823,0.9760833333333333,1.0,0.659,0.561,0.6395,0.572,0.442,0.6835
22,0.06238727510902876,0.9780625,1.0,0.553,0.581,0.6345,0.5945,0.5415,0.6
23,0.059774748702378325,0.97975,1.0,0.5455,0.4655,0.7325,0.617,0.5595,0.52
24,0.05068974646413699,0.9825416666666666,1.0,0.6095,0.603,0.669,0.58,0.529,0.614
25,0.04760006870352663,0.983625,1.0,0.6565,0.473,0.6685,0.6175,0.5555,0.65
26,0.05349535735882819,0.9819375,0.9999791666666666,0.7435,0.611,0.5995,0.509,0.4815,0.634
27,0.04534585029173953,0.9845833333333334,1.0,0.692,0.544,0.651,0.6165,0.497,0.6085
28,0.0412534557437369,0.98575,1.0,0.702,0.5395,0.6,0.607,0.5085,0.6965
29,0.039771446071603954,0.9863125,1.0,0.6275,0.4755,0.6485,0.6175,0.529,0.6885
30,0.04213297831629946,0.9852083333333334,1.0,0.712,0.5575,0.6205,0.501,0.5225,0.695
31,0.04327784797654022,0.985125,1.0,0.657,0.594,0.6315,0.572,0.567,0.548
32,0.04239749043039046,0.9854166666666667,1.0,0.648,0.5825,0.6735,0.599,0.4975,0.575
33,0.038114978168567175,0.9872708333333333,1.0,0.6815,0.446,0.5235,0.6595,0.511,0.711
34,0.03616413621625785,0.9881666666666666,1.0,0.6675,0.588,0.601,0.5985,0.544,0.599
35,0.04703035333469355,0.9836875,1.0,0.587,0.5825,0.676,0.618,0.5005,0.6025
36,0.0352949436007378,0.9886666666666667,1.0,0.6105,0.624,0.55,0.535,0.5605,0.6575
37,0.03297500881044349,0.9888541666666667,0.9999791666666666,0.6415,0.5105,0.7205,0.586,0.507,0.596
38,0.03358239684112292,0.9887708333333334,1.0,0.5585,0.643,0.5845,0.5505,0.5695,0.5805
39,0.039866054414150615,0.9864791666666667,1.0,0.648,0.522,0.6945,0.6115,0.441,0.631
40,0.03698696014657617,0.9873333333333333,1.0,0.5685,0.5135,0.614,0.5985,0.5885,0.5695
41,0.03712972060330988,0.9873958333333334,1.0,0.616,0.496,0.6305,0.597,0.4675,0.7025
42,0.03976875388346768,0.9863541666666666,1.0,0.6455,0.492,0.693,0.527,0.55,0.6205
43,0.03769759586009119,0.9870208333333333,1.0,0.6835,0.453,0.666,0.556,0.52,0.7275
44,0.03511492802808061,0.9880208333333333,0.9999791666666666,0.71,0.503,0.6265,0.4695,0.495,0.761
45,0.03172898061767531,0.9895416666666667,1.0,0.6615,0.4305,0.6885,0.569,0.515,0.736
46,0.023739505221213524,0.9923541666666666,1.0,0.7245,0.4755,0.616,0.579,0.475,0.7
47,0.029926051342607632,0.99025,1.0,0.579,0.5325,0.6505,0.573,0.6575,0.557
48,0.030071543418763516,0.9897291666666667,1.0,0.6065,0.4185,0.6865,0.574,0.5715,0.709
49,0.04248382947801535,0.9855,0.9999791666666666,0.556,0.46,0.648,0.619,0.597,0.6485
50,0.0393226425924222,0.98675,1.0,0.6525,0.511,0.6625,0.5975,0.543,0.673
51,0.030528327357256784,0.9894791666666667,1.0,0.7285,0.521,0.612,0.5205,0.506,0.692
52,0.041993204821444426,0.985375,1.0,0.6615,0.5115,0.6665,0.645,0.4815,0.603
53,0.0449390011112749,0.9844583333333333,1.0,0.6995,0.4985,0.719,0.52,0.4915,0.594
54,0.0357455484373495,0.9880416666666667,1.0,0.627,0.4325,0.7285,0.6235,0.5385,0.634
55,0.02403421067489156,0.9922083333333334,1.0,0.6055,0.557,0.6915,0.6125,0.4925,0.643
56,0.02542581630285713,0.9915208333333333,1.0,0.677,0.5115,0.6955,0.5465,0.491,0.734
57,0.016923690270448183,0.9948125,1.0,0.63,0.433,0.705,0.5955,0.5485,0.713
58,0.02522861501481384,0.9919375,1.0,0.6595,0.488,0.671,0.6105,0.4725,0.7125
59,0.04128646216101091,0.9860625,1.0,0.6005,0.4095,0.718,0.555,0.582,0.629
60,0.04716408056416549,0.9836875,1.0,0.6465,0.5505,0.6295,0.575,0.478,0.6625
61,0.04432114755858978,0.984625,1.0,0.6435,0.503,0.7195,0.5595,0.527,0.6395
62,0.04794546274122937,0.9841666666666666,1.0,0.69,0.573,0.5645,0.532,0.561,0.636
63,0.03187233866850147,0.9891666666666666,0.9999791666666666,0.6495,0.519,0.611,0.549,0.6,0.667
64,0.02693947888563465,0.9911041666666667,1.0,0.6365,0.5425,0.529,0.649,0.537,0.6665
65,0.022900498478139828,0.9923333333333333,1.0,0.653,0.441,0.7335,0.575,0.547,0.693
66,0.02235661708266707,0.9932708333333333,1.0,0.642,0.4955,0.535,0.5815,0.6265,0.658
67,0.031116109116604396,0.9896666666666667,1.0,0.6175,0.5385,0.5755,0.5445,0.5655,0.6985
68,0.038097693954681745,0.986375,1.0,0.6025,0.5245,0.5905,0.6015,0.5325,0.632
69,0.04229132128766893,0.9852708333333333,1.0,0.649,0.5585,0.601,0.604,0.489,0.6315
70,0.037262358119982915,0.9873958333333334,1.0,0.583,0.4375,0.6465,0.593,0.634,0.62
71,0.03661037166721265,0.9875625,1.0,0.65,0.5545,0.6635,0.571,0.5305,0.6195
72,0.03510188958817161,0.9882083333333334,1.0,0.6015,0.5535,0.578,0.616,0.544,0.637
73,0.03297493439163857,0.9889166666666667,1.0,0.69,0.509,0.668,0.5375,0.4925,0.6495
