Epoch,Loss,Top1 Acc,Top5 Acc,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc
62,0.014844115558817672,0.9948125,1.0,0.679,0.551,0.638,0.5675,0.5785,0.684
63,0.016340770923108115,0.9946875,1.0,0.661,0.5635,0.6425,0.6065,0.5895,0.6565
64,0.013118473681652783,0.9958541666666667,1.0,0.695,0.5445,0.565,0.573,0.51,0.758
65,0.016643084765294285,0.9946666666666667,1.0,0.7155,0.537,0.5625,0.655,0.498,0.641
66,0.013785696881733506,0.9953541666666667,1.0,0.629,0.5185,0.6395,0.6395,0.612,0.6555
67,0.012184103583916568,0.996,1.0,0.6285,0.449,0.7085,0.5755,0.632,0.693
68,0.014436741671103542,0.9951875,1.0,0.653,0.5255,0.645,0.63,0.534,0.701
69,0.0145910967265645,0.9949166666666667,1.0,0.7345,0.5155,0.64,0.6535,0.4885,0.6765
70,0.013286932000658756,0.9952708333333333,1.0,0.7395,0.5525,0.649,0.6285,0.5495,0.614
71,0.014020347913132355,0.9958333333333333,1.0,0.6475,0.5335,0.6555,0.649,0.5645,0.666
72,0.013466371613753532,0.995375,1.0,0.684,0.569,0.681,0.575,0.5755,0.5855
73,0.016060382603317217,0.99475,1.0,0.702,0.471,0.688,0.6195,0.56,0.6165
74,0.009818569797846066,0.997,1.0,0.6425,0.4915,0.628,0.7065,0.4915,0.6695
75,0.012844115054066,0.9958333333333333,1.0,0.778,0.579,0.5425,0.5775,0.524,0.6635
76,0.013979821289342605,0.9953958333333334,1.0,0.652,0.5215,0.664,0.6265,0.5465,0.6705
77,0.010564033487639487,0.9962708333333333,1.0,0.6735,0.52,0.612,0.5915,0.5895,0.724
78,0.013622067548497095,0.9953541666666667,1.0,0.666,0.57,0.6305,0.589,0.566,0.678
79,0.009165894530526505,0.9970208333333334,1.0,0.7125,0.4795,0.6795,0.6105,0.515,0.682
80,0.01458283859887418,0.9953958333333334,1.0,0.722,0.53,0.6395,0.5955,0.4805,0.7245
81,0.009287149080800495,0.9969166666666667,1.0,0.6915,0.577,0.612,0.5895,0.548,0.7025
82,0.013839932169871947,0.9954791666666667,1.0,0.6395,0.5005,0.6785,0.6375,0.5115,0.717
83,0.01072455615559799,0.9967083333333333,1.0,0.705,0.5525,0.579,0.59,0.5205,0.7225
84,0.009812980294565326,0.9968958333333333,1.0,0.6155,0.47,0.725,0.6105,0.5525,0.7265
85,0.01138802700922679,0.9962291666666667,1.0,0.6105,0.509,0.613,0.6245,0.606,0.6775
86,0.012247648992933591,0.9955416666666667,1.0,0.7135,0.5425,0.621,0.544,0.536,0.6725
87,0.010613379915782388,0.9964791666666667,1.0,0.664,0.509,0.636,0.6175,0.537,0.664
88,0.010899830882609119,0.9962916666666667,1.0,0.607,0.529,0.574,0.6645,0.596,0.578
89,0.010253300179194715,0.9965625,1.0,0.628,0.498,0.7065,0.5755,0.544,0.717
90,0.008740708367883295,0.997125,1.0,0.6885,0.542,0.687,0.6165,0.546,0.65
91,0.011314123683189639,0.9962291666666667,1.0,0.7105,0.536,0.6135,0.5805,0.491,0.7375
92,0.009467065862409679,0.9966666666666667,1.0,0.674,0.527,0.6375,0.583,0.5895,0.626
93,0.012081792390610644,0.9959375,1.0,0.713,0.584,0.6005,0.6005,0.5875,0.5895
94,0.008406444091032882,0.9971041666666667,1.0,0.6785,0.573,0.5835,0.551,0.5905,0.6475
95,0.009546683070996854,0.9972083333333334,1.0,0.637,0.5625,0.619,0.6355,0.5745,0.6115
96,0.011082649990489395,0.9963541666666667,1.0,0.7005,0.523,0.6105,0.5915,0.594,0.6435
97,0.009050167459780217,0.9968958333333333,1.0,0.672,0.53,0.607,0.58,0.5995,0.707
98,0.010932756679851687,0.9962708333333333,1.0,0.6745,0.531,0.699,0.5895,0.5235,0.6645
99,0.007888049223757965,0.9973125,1.0,0.598,0.5035,0.7185,0.6285,0.484,0.7105
100,0.01069803273844688,0.9963541666666667,1.0,0.6745,0.494,0.7025,0.585,0.5235,0.678
101,0.008228057093237264,0.9970833333333333,1.0,0.697,0.574,0.625,0.5895,0.549,0.666
102,0.011216228788858492,0.9962708333333333,1.0,0.698,0.5175,0.6285,0.556,0.5625,0.7165
