epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.7259966430043432,1.4166813842773438,59.27,94.01
1,1.4199417395727225,1.0654479965209962,65.02,98.54
2,1.3515389528326984,0.9811725034713745,68.1,98.55
3,1.3233387103111345,0.9452098081588746,69.37,98.99
4,1.307291076283844,0.9159223798751831,70.43,99.05
5,1.2936442600380489,0.9467834424018859,68.67,98.67
6,1.2785260551681659,0.898617965888977,70.77,99.15
7,1.2750427248716136,0.9221476888656617,69.91,98.82
8,1.2737351684369262,0.893736224937439,72.22,99.08
9,1.2635638137458116,0.9214435141563415,69.34,98.85
10,1.2613906366468897,0.9287640140533447,70.14,99.33
11,1.2538579083931325,0.8909227596282959,71.82,99.09
12,1.2471890707391866,0.8566372584342956,72.41,99.33
13,1.2459032427925893,0.838689838027954,73.09,99.28
14,1.2423426555341586,0.8428714147567749,73.09,99.29
15,1.2368842803153501,0.9024452503204345,72.02,99.13
16,1.2336524243643259,0.8363911100387573,72.62,99.43
17,1.2389219846887178,0.8401782748222351,73.4,99.01
18,1.2331578129480782,0.8821934949874878,72.39,99.15
19,1.2267189057566068,0.8285639966964722,73.87,99.31
20,1.2256131997139055,0.8171335000038147,74.28,99.36
21,1.2272068227681405,0.8208245852470398,74.43,99.41
22,1.2184377557416228,0.8718520785331726,73.07,99.36
23,1.2146481925145296,0.8344270830154419,73.55,99.26
24,1.2118822837728191,0.8328241487503052,74.17,99.36
25,1.2112403956167639,0.8282800147056579,74.26,99.36
26,1.2033809823360495,0.8297729198455811,73.39,99.28
27,1.2006517926232734,0.8093618906021118,74.23,99.38
28,1.206763807127609,0.8062708716392517,75.36,99.39
29,1.200186563455982,0.8284233704566956,73.71,99.25
30,1.1992041345149633,0.8129112718582153,73.99,99.35
31,1.2004194955668464,0.7927641191482544,75.33,99.41
32,1.1906743911730926,0.7659433418273925,75.44,99.51
33,1.192878688452552,0.8023883425712586,74.41,99.4
34,1.1914779155982076,0.811113791847229,74.43,99.4
35,1.18152519795569,0.7991887145042419,75.08,99.3
36,1.1878170957814433,0.791607474899292,75.66,99.49
37,1.178653559370067,0.7656924434661865,75.63,99.45
38,1.1812468915221672,0.8066763520240784,75.04,99.36
39,1.181360926024964,0.7721798008918762,75.21,99.48
40,1.177410194351518,0.7768620585441589,75.76,99.43
41,1.1776333912920232,0.7631684060096741,76.1,99.44
42,1.1758222054386227,0.7902233380317688,74.86,99.39
43,1.177927135656341,0.7827080077171326,75.74,99.48
44,1.1774902791194584,0.7787281722068786,75.9,99.45
45,1.1692523593535453,0.7901227691650391,76.05,99.38
46,1.1767859875227091,0.7772658855438233,75.49,99.45
47,1.1722187015793937,0.7771839944839477,75.26,99.47
48,1.1704090871907067,0.7744485744476318,75.62,99.57
49,1.1724512970961092,0.756468476009369,76.47,99.52
50,1.1637940263114426,0.7475571804046631,76.67,99.48
51,1.1629001319025984,0.769050845336914,76.08,99.51
52,1.1685454408910492,0.7643698356628418,76.28,99.47
53,1.1600565107233693,0.7663227962493897,75.91,99.45
54,1.1619691283849267,0.7640101654052734,76.07,99.5
55,1.1628896733908125,0.7519138772964478,76.57,99.55
56,1.1575239176710848,0.7475092104911805,76.33,99.53
57,1.1601798453536414,0.7641887252807618,76.02,99.51
58,1.151608093849133,0.7770670063972474,75.95,99.43
59,1.1584480055202375,0.7679854828834534,75.58,99.39
60,1.1486220488189887,0.7842567834854126,75.31,99.43
61,1.1560039694543065,0.7426466050148011,76.65,99.53
62,1.1483228725102055,0.7567867534637451,76.23,99.49
63,1.1498824191902013,0.7668380471229553,75.78,99.39
64,1.1521459965941887,0.7553708343505859,76.42,99.39
65,1.145316267647293,0.7527602595329285,76.22,99.47
66,1.1500854500928785,0.7586264356613159,76.31,99.37
67,1.1467401584717902,0.7485375418663025,76.42,99.43
68,1.141025575063952,0.7520624950408935,75.94,99.4
69,1.1449859708301744,0.7634320634841919,76.33,99.38
70,1.1341370967524955,0.7624236854553222,75.38,99.46
71,1.1470104006317972,0.7533891880989074,76.54,99.53
